Balance &0.14 (0.10)&0.19 (0.17)&0.19 (0.10)&0.23 (0.19)\\
Glass &0.40 (0.00)&0.81 (0.02)&0.61 (0.01)&0.71 (0.01)\\
Iris &0.92 (0.01)&0.92 (0.01)&0.89 (0.01)&0.90 (0.01)\\
Libras &0.62 (0.06)&0.67 (0.04)&0.80 (0.03)&0.82 (0.02)\\
Monk1 &0.71 (0.04)&0.26 (0.00)&0.61 (0.04)&0.35 (0.00)\\
Monk2 &0.01 (0.00)&0.34 (0.00)&0.01 (0.00)&0.36 (0.00)\\
Monk3 &0.32 (0.00)&0.94 (0.00)&0.25 (0.00)&0.91 (0.00)\\
Seeds &0.38 (0.00)&0.92 (0.00)&0.45 (0.00)&0.89 (0.00)\\
Vehicles &0.69 (0.00)&0.95 (0.00)&0.74 (0.00)&0.92 (0.01)\\
